Interval=	0.001 s
ExcelDateTime=	4.5785602370697263e+004	2025/05/08 14:27:24.828244
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	5.000 V
0	-0.011
0.001	-0.011
0.002	-0.012
0.003	-0.012
0.004	-0.014
0.005	-0.016
0.006	-0.019
0.007	-0.020
0.008	-0.017
0.009	-0.015
0.01	-0.016
0.011	-0.019
0.012	-0.018
0.013	-0.019
0.014	-0.020
0.015	-0.019
0.016	-0.015
0.017	-0.010
0.018	-0.012
0.019	-0.018
0.02	-0.015
0.021	-0.013
0.022	-0.014
0.023	-0.016
0.024	-0.016
0.025	-0.013
0.026	-0.011
0.027	-0.015
0.028	-0.016
0.029	-0.016
0.03	-0.015
0.031	-0.016
0.032	-0.018
0.033	-0.018
0.034	-0.014
0.035	-0.014
0.036	-0.013
0.037	-0.013
0.038	-0.018
0.039	-0.018
0.04	-0.018
0.041	-0.021
0.042	-0.017
0.043	-0.014
0.044	-0.015
0.045	-0.015
0.046	-0.016
0.047	-0.015
0.048	-0.015
0.049	-0.015
0.05	-0.012
0.051	-0.011
0.052	-0.014
0.053	-0.015
0.054	-0.016
0.055	-0.017
0.056	-0.018
0.057	-0.018
0.058	-0.018
0.059	-0.014
0.06	-0.014
0.061	-0.018
0.062	-0.019
0.063	-0.018
0.064	-0.018
0.065	-0.017
0.066	-0.018
0.067	-0.014
0.068	-0.014
0.069	-0.017
0.07	-0.016
0.071	-0.017
0.072	-0.018
0.073	-0.019
0.074	-0.019
0.075	-0.016
0.076	-0.015
0.077	-0.016
0.078	-0.018
0.079	-0.019
0.08	-0.020
0.081	-0.019
0.082	-0.018
0.083	-0.015
0.084	-0.012
0.085	-0.013
0.086	-0.014
0.087	-0.015
0.088	-0.016
0.089	-0.017
0.09	-0.018
0.091	-0.018
0.092	-0.015
0.093	-0.016
0.094	-0.018
0.095	-0.018
0.096	-0.019
0.097	-0.019
0.098	-0.018
0.099	-0.018
0.1	-0.015
0.101	-0.014
0.102	-0.017
0.103	-0.014
0.104	-0.015
0.105	-0.015
0.106	-0.017
0.107	-0.017
0.108	-0.016
0.109	-0.013
0.11	-0.016
0.111	-0.018
0.112	-0.019
0.113	-0.021
0.114	-0.022
0.115	-0.018
0.116	-0.015
0.117	-0.013
0.118	-0.013
0.119	-0.013
0.12	-0.012
0.121	-0.014
0.122	-0.015
0.123	-0.016
0.124	-0.018
0.125	-0.017
0.126	-0.017
0.127	-0.019
0.128	-0.019
0.129	-0.017
0.13	-0.016
0.131	-0.015
0.132	-0.016
0.133	-0.015
0.134	-0.013
0.135	-0.015
0.136	-0.016
0.137	-0.014
0.138	-0.016
0.139	-0.018
0.14	-0.018
0.141	-0.019
0.142	-0.017
0.143	-0.015
0.144	-0.018
0.145	-0.019
0.146	-0.019
0.147	-0.017
0.148	-0.016
0.149	-0.014
0.15	-0.011
0.151	-0.010
0.152	-0.013
0.153	-0.014
0.154	-0.015
0.155	-0.018
0.156	-0.021
0.157	-0.019
0.158	-0.018
0.159	-0.015
0.16	-0.017
0.161	-0.021
0.162	-0.020
0.163	-0.019
0.164	-0.021
0.165	-0.020
0.166	-0.018
0.167	-0.014
0.168	-0.011
0.169	-0.013
0.17	-0.013
0.171	-0.013
0.172	-0.016
0.173	-0.018
0.174	-0.018
0.175	-0.018
0.176	-0.017
0.177	-0.018
0.178	-0.016
0.179	-0.016
0.18	-0.019
0.181	-0.018
0.182	-0.017
0.183	-0.016
0.184	-0.011
0.185	-0.010
0.186	-0.009
0.187	-0.010
0.188	-0.013
0.189	-0.015
0.19	-0.017
0.191	-0.017
0.192	-0.015
0.193	-0.013
0.194	-0.014
0.195	-0.015
0.196	-0.017
0.197	-0.020
0.198	-0.020
0.199	-0.017
0.2	-0.017
0.201	-0.015
0.202	-0.014
0.203	-0.014
0.204	-0.015
0.205	-0.016
0.206	-0.018
0.207	-0.018
0.208	-0.017
0.209	-0.015
0.21	-0.018
0.211	-0.021
0.212	-0.018
0.213	-0.018
0.214	-0.016
0.215	-0.016
0.216	-0.016
0.217	-0.013
0.218	-0.013
0.219	-0.015
0.22	-0.017
0.221	-0.017
0.222	-0.016
0.223	-0.017
0.224	-0.018
0.225	-0.017
0.226	-0.014
0.227	-0.015
0.228	-0.018
0.229	-0.018
0.23	-0.018
0.231	-0.019
0.232	-0.017
0.233	-0.014
0.234	-0.011
0.235	-0.013
0.236	-0.014
0.237	-0.013
0.238	-0.015
0.239	-0.018
0.24	-0.018
0.241	-0.018
0.242	-0.017
0.243	-0.014
0.244	-0.017
0.245	-0.017
0.246	-0.017
0.247	-0.017
0.248	-0.016
0.249	-0.016
0.25	-0.014
0.251	-0.012
0.252	-0.015
0.253	-0.015
0.254	-0.015
0.255	-0.016
0.256	-0.018
0.257	-0.017
0.258	-0.018
0.259	-0.014
0.26	-0.015
0.261	-0.018
0.262	-0.017
0.263	-0.019
0.264	-0.018
0.265	-0.018
0.266	-0.017
0.267	-0.015
0.268	-0.014
0.269	-0.016
0.27	-0.015
0.271	-0.015
0.272	-0.016
0.273	-0.019
0.274	-0.019
0.275	-0.019
0.276	-0.015
0.277	-0.016
0.278	-0.018
0.279	-0.017
0.28	-0.018
0.281	-0.017
0.282	-0.017
0.283	-0.016
0.284	-0.013
0.285	-0.014
0.286	-0.015
0.287	-0.015
0.288	-0.017
0.289	-0.018
0.29	-0.017
0.291	-0.018
0.292	-0.017
0.293	-0.015
0.294	-0.016
0.295	-0.018
0.296	-0.018
0.297	-0.017
0.298	-0.018
0.299	-0.018
0.3	-0.015
0.301	-0.013
0.302	-0.015
0.303	-0.015
0.304	-0.015
0.305	-0.016
0.306	-0.018
0.307	-0.018
0.308	-0.019
0.309	-0.015
0.31	-0.014
0.311	-0.018
0.312	-0.017
0.313	-0.017
0.314	-0.018
0.315	-0.017
0.316	-0.016
0.317	-0.014
0.318	-0.012
0.319	-0.014
0.32	-0.015
0.321	-0.015
0.322	-0.017
0.323	-0.017
0.324	-0.018
0.325	-0.017
0.326	-0.014
0.327	-0.016
0.328	-0.017
0.329	-0.018
0.33	-0.017
0.331	-0.016
0.332	-0.017
0.333	-0.016
0.334	-0.014
0.335	-0.015
0.336	-0.016
0.337	-0.015
0.338	-0.016
0.339	-0.016
0.34	-0.017
0.341	-0.019
0.342	-0.016
0.343	-0.014
0.344	-0.017
0.345	-0.018
0.346	-0.019
0.347	-0.019
0.348	-0.018
0.349	-0.017
0.35	-0.015
0.351	-0.013
0.352	-0.015
0.353	-0.015
0.354	-0.016
0.355	-0.017
0.356	-0.018
0.357	-0.018
0.358	-0.020
0.359	-0.015
0.36	-0.016
0.361	-0.018
0.362	-0.017
0.363	-0.016
0.364	-0.017
0.365	-0.017
0.366	-0.016
0.367	-0.013
0.368	-0.012
0.369	-0.015
0.37	-0.015
0.371	-0.016
0.372	-0.016
0.373	-0.016
0.374	-0.017
0.375	-0.015
0.376	-0.014
0.377	-0.015
0.378	-0.018
0.379	-0.018
0.38	-0.018
0.381	-0.020
0.382	-0.020
0.383	-0.018
0.384	-0.014
0.385	-0.014
0.386	-0.015
0.387	-0.015
0.388	-0.015
0.389	-0.016
0.39	-0.018
0.391	-0.019
0.392	-0.016
0.393	-0.014
0.394	-0.017
0.395	-0.018
0.396	-0.017
0.397	-0.017
0.398	-0.016
0.399	-0.016
0.4	-0.014
0.401	-0.012
0.402	-0.015
0.403	-0.014
0.404	-0.015
0.405	-0.017
0.406	-0.018
0.407	-0.017
0.408	-0.018
0.409	-0.015
0.41	-0.015
0.411	-0.016
0.412	-0.017
0.413	-0.017
0.414	-0.017
0.415	-0.016
0.416	-0.016
0.417	-0.011
0.418	-0.009
0.419	-0.011
0.42	-0.012
0.421	-0.015
0.422	-0.019
0.423	-0.021
0.424	-0.022
0.425	-0.021
0.426	-0.017
0.427	-0.016
0.428	-0.017
0.429	-0.018
0.43	-0.017
0.431	-0.016
0.432	-0.017
0.433	-0.016
0.434	-0.014
0.435	-0.014
0.436	-0.015
0.437	-0.016
0.438	-0.016
0.439	-0.016
0.44	-0.017
0.441	-0.017
0.442	-0.015
0.443	-0.015
0.444	-0.018
0.445	-0.018
0.446	-0.018
0.447	-0.017
0.448	-0.017
0.449	-0.015
0.45	-0.014
0.451	-0.013
