MSG	843046 TRIAL 10 START
MSG	845936 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.68 deg.  -21.5,14.6 pix.
MSG	846656 RECCFG P 500 2 1 
MSG	846656 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	846657 !MODE RECORD P 500 2 1
START	846658 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
846658	  746.2	  516.3	  477.0	.
846660	  747.0	  515.9	  478.0	.
846662	  747.0	  517.3	  479.0	.
846664	  747.8	  510.4	  480.0	.
846666	  748.1	  511.1	  481.0	.
846668	  747.9	  511.8	  479.0	.
846670	  747.9	  515.6	  479.0	.
846672	  747.8	  519.4	  478.0	.
SFIX L   846674
846674	  747.9	  521.1	  477.0	.
846676	  746.4	  523.0	  476.0	.
846678	  746.6	  523.8	  476.0	.
846680	  746.0	  524.7	  476.0	.
846682	  745.5	  524.0	  476.0	.
846684	  745.6	  523.8	  476.0	.
846686	  745.5	  523.5	  476.0	.
846688	  745.3	  523.5	  476.0	.
846690	  747.6	  523.2	  476.0	.
846692	  747.3	  523.1	  477.0	.
846694	  747.2	  522.7	  477.0	.
846696	  744.4	  522.6	  477.0	.
846698	  745.2	  521.7	  477.0	.
846700	  745.8	  520.7	  477.0	.
846702	  746.9	  510.6	  480.0	.
846704	  748.3	  504.8	  485.0	.
846706	  748.6	  499.2	  490.0	.
846708	  748.4	  501.1	  487.0	.
846710	  748.4	  503.0	  485.0	.
846712	  750.1	  500.2	  486.0	.
846714	  750.1	  500.7	  486.0	.
846716	  749.9	  501.2	  485.0	.
846718	  748.1	  505.0	  485.0	.
846720	  745.0	  506.9	  484.0	.
846722	  745.5	  508.3	  482.0	.
846724	  745.0	  509.5	  481.0	.
846726	  745.3	  513.7	  481.0	.
846728	  745.2	  508.1	  481.0	.
846730	  745.1	  509.1	  481.0	.
846732	  745.6	  510.0	  482.0	.
846734	  746.2	  511.5	  480.0	.
846736	  746.2	  512.0	  481.0	.
846738	  746.5	  512.4	  480.0	.
846740	  746.1	  513.6	  479.0	.
846742	  745.6	  514.8	  479.0	.
846744	  745.5	  516.3	  479.0	.
846746	  745.5	  517.9	  479.0	.
846748	  745.2	  518.4	  479.0	.
846750	  746.4	  518.7	  480.0	.
846752	  746.2	  520.0	  480.0	.
846754	  745.9	  520.4	  479.0	.
846756	  745.8	  520.6	  480.0	.
846758	  745.8	  520.6	  479.0	.
846760	  745.7	  520.7	  480.0	.
846762	  746.9	  520.2	  481.0	.
846764	  747.3	  519.8	  483.0	.
MSG	846766 Start Recording with 0
MSG	846766 SYNCTIME
846766	  747.4	  518.9	  483.0	.
846768	  747.5	  518.9	  483.0	.
846770	  749.5	  522.9	  483.0	.
846772	  749.1	  523.7	  482.0	.
846774	  748.6	  523.4	  482.0	.
846776	  747.7	  523.7	  482.0	.
846778	  746.7	  522.9	  482.0	.
