MSG	859894 TRIAL 12 START
MSG	861388 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.26 deg.  -5.1,-8.0 pix.
MSG	862136 RECCFG P 500 2 1 
MSG	862136 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	862137 !MODE RECORD P 500 2 1
START	862138 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
862138	  942.3	  545.0	  434.0	.
862140	  942.7	  544.7	  434.0	.
862142	  942.6	  544.5	  433.0	.
862144	  942.6	  544.5	  433.0	.
SFIX L   862146
862146	  942.1	  544.7	  433.0	.
862148	  941.9	  543.9	  433.0	.
862150	  941.7	  544.0	  432.0	.
862152	  941.3	  544.1	  432.0	.
862154	  940.8	  543.6	  432.0	.
862156	  940.5	  543.8	  432.0	.
862158	  940.2	  544.1	  432.0	.
862160	  940.0	  544.4	  432.0	.
862162	  939.7	  544.5	  432.0	.
862164	  939.7	  543.4	  431.0	.
862166	  939.7	  543.9	  431.0	.
862168	  940.6	  544.4	  432.0	.
862170	  939.9	  544.7	  432.0	.
862172	  939.4	  544.9	  432.0	.
862174	  939.6	  545.1	  432.0	.
862176	  939.9	  545.1	  431.0	.
862178	  939.5	  545.0	  431.0	.
862180	  939.2	  544.8	  431.0	.
862182	  938.9	  544.9	  432.0	.
862184	  939.1	  544.9	  433.0	.
862186	  939.1	  545.1	  433.0	.
862188	  939.5	  545.2	  432.0	.
862190	  939.1	  547.6	  432.0	.
862192	  939.0	  547.2	  432.0	.
862194	  939.0	  546.9	  432.0	.
862196	  939.1	  546.6	  432.0	.
862198	  938.6	  546.5	  432.0	.
862200	  938.4	  546.8	  432.0	.
862202	  938.8	  547.1	  431.0	.
862204	  939.3	  546.8	  430.0	.
862206	  939.4	  546.7	  429.0	.
862208	  939.5	  546.5	  429.0	.
862210	  940.0	  546.3	  430.0	.
862212	  939.5	  545.9	  430.0	.
862214	  939.0	  545.7	  430.0	.
862216	  939.2	  545.2	  431.0	.
862218	  939.3	  545.1	  432.0	.
862220	  939.7	  544.9	  431.0	.
862222	  939.3	  544.8	  431.0	.
862224	  939.0	  545.5	  432.0	.
862226	  939.5	  544.6	  432.0	.
862228	  939.4	  544.3	  432.0	.
862230	  939.8	  544.3	  431.0	.
862232	  939.9	  544.2	  430.0	.
862234	  940.1	  544.6	  431.0	.
862236	  940.9	  544.5	  430.0	.
862238	  941.3	  544.6	  430.0	.
862240	  941.6	  544.5	  430.0	.
862242	  943.2	  544.3	  430.0	.
862244	  943.6	  544.5	  428.0	.
MSG	862246 Start Recording with 0
MSG	862246 SYNCTIME
862246	  944.1	  544.7	  426.0	.
862248	  944.7	  545.2	  426.0	.
862250	  944.5	  544.8	  426.0	.
MSG	862252 DSP: FIXATION
862252	  944.2	  544.8	  426.0	.
862254	  943.9	  544.9	  427.0	.
862256	  943.6	  545.3	  429.0	.
