MSG	884554 TRIAL 15 START
MSG	886386 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.43 deg.  -14.3,8.2 pix.
MSG	887145 RECCFG P 500 2 1 
MSG	887145 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	887146 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	887146 !MODE RECORD P 500 2 1
887146	  951.9	  542.2	  420.0	.
887148	  952.3	  541.9	  420.0	.
887150	  951.8	  542.0	  420.0	.
887152	  951.2	  541.7	  420.0	.
SFIX L   887154
887154	  951.1	  541.6	  420.0	.
887156	  951.0	  541.8	  421.0	.
887158	  951.3	  541.9	  421.0	.
887160	  951.4	  541.6	  421.0	.
887162	  951.6	  542.3	  423.0	.
887164	  951.6	  541.3	  423.0	.
887166	  951.9	  540.3	  421.0	.
887168	  951.4	  541.1	  421.0	.
887170	  951.7	  540.6	  420.0	.
887172	  951.8	  540.1	  420.0	.
887174	  952.1	  540.5	  420.0	.
887176	  951.9	  540.3	  420.0	.
887178	  952.6	  539.9	  420.0	.
887180	  951.5	  539.1	  420.0	.
887182	  951.3	  538.2	  420.0	.
887184	  951.3	  537.7	  420.0	.
887186	  951.2	  537.2	  420.0	.
887188	  951.3	  537.1	  419.0	.
887190	  951.4	  537.1	  420.0	.
887192	  951.7	  537.1	  419.0	.
887194	  952.0	  535.9	  419.0	.
887196	  952.3	  534.6	  419.0	.
887198	  952.9	  535.4	  420.0	.
887200	  953.4	  535.6	  420.0	.
887202	  952.3	  536.0	  420.0	.
887204	  951.8	  536.2	  420.0	.
887206	  951.6	  536.3	  420.0	.
887208	  952.1	  536.9	  421.0	.
887210	  952.5	  537.1	  422.0	.
887212	  952.5	  537.1	  422.0	.
887214	  952.4	  537.1	  422.0	.
887216	  951.8	  535.8	  421.0	.
887218	  952.4	  535.7	  421.0	.
887220	  952.6	  535.6	  421.0	.
887222	  952.4	  537.0	  420.0	.
887224	  953.0	  537.2	  420.0	.
887226	  953.5	  537.5	  420.0	.
887228	  953.1	  538.0	  421.0	.
887230	  953.3	  538.4	  422.0	.
887232	  953.5	  538.5	  422.0	.
887234	  952.7	  538.7	  422.0	.
887236	  952.4	  538.8	  422.0	.
887238	  952.2	  538.4	  422.0	.
887240	  952.5	  538.7	  421.0	.
887242	  952.3	  538.9	  421.0	.
887244	  952.3	  540.0	  421.0	.
887246	  951.9	  540.0	  421.0	.
887248	  952.2	  540.1	  421.0	.
887250	  952.1	  540.0	  423.0	.
887252	  952.1	  541.1	  423.0	.
887254	  952.3	  541.0	  422.0	.
MSG	887255 Start Recording with 0
MSG	887255 SYNCTIME
887256	  952.7	  541.0	  422.0	.
887258	  952.9	  540.8	  421.0	.
887260	  953.0	  540.8	  421.0	.
887262	  953.1	  540.6	  421.0	.
887264	  952.9	  541.0	  421.0	.
887266	  952.6	  540.8	  421.0	.
