MSG	892615 TRIAL 16 START
MSG	893257 RECCFG P 500 2 1 
MSG	893257 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	893258 !MODE RECORD P 500 2 1
START	893270 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
893270	  980.4	  635.0	  264.0	.
893272	  981.5	  673.5	  237.0	.
893274	  977.2	  684.5	  227.0	.
893276	  976.1	  687.3	  225.0	I
893278	  975.2	  690.0	  222.0	.
893280	  974.1	  692.8	  220.0	I
893282	  973.1	  695.6	  218.0	.
893284	  973.1	  695.6	  218.0	I
893286	   .	   .	    0.0	.
893288	   .	   .	    0.0	I
893290	   .	   .	    0.0	.
893292	   .	   .	    0.0	I
893294	   .	   .	    0.0	.
893296	   .	   .	    0.0	I
893298	   .	   .	    0.0	.
893300	   .	   .	    0.0	I
893302	   .	   .	    0.0	.
893304	   .	   .	    0.0	I
893306	   .	   .	    0.0	.
893308	   .	   .	    0.0	I
893310	   .	   .	    0.0	.
893312	   .	   .	    0.0	I
893314	   .	   .	    0.0	.
893316	   .	   .	    0.0	I
893318	   .	   .	    0.0	.
893320	   .	   .	    0.0	I
893322	   .	   .	    0.0	.
893324	   .	   .	    0.0	I
893326	   .	   .	    0.0	.
893328	   .	   .	    0.0	I
893330	   .	   .	    0.0	.
893332	   .	   .	    0.0	I
893334	   .	   .	    0.0	.
893336	   .	   .	    0.0	I
893338	   .	   .	    0.0	.
893340	   .	   .	    0.0	I
893342	   .	   .	    0.0	.
893344	   .	   .	    0.0	I
893346	   .	   .	    0.0	.
893348	   .	   .	    0.0	I
893350	   .	   .	    0.0	.
893352	  992.0	  746.1	  180.0	I
893354	  991.9	  746.1	  180.0	.
893356	  992.3	  742.8	  182.0	I
893358	  992.7	  739.5	  185.0	.
893360	  989.6	  733.3	  190.0	.
893362	  988.8	  720.3	  200.0	.
893364	  988.1	  707.1	  212.0	.
893366	  989.0	  694.3	  216.0	.
893368	  988.0	  690.1	  223.0	.
893370	  984.9	  663.3	  234.0	.
893372	  984.6	  658.9	  240.0	.
MSG	893373 Start Recording with 0
MSG	893373 SYNCTIME
893374	  984.6	  656.9	  246.0	.
893376	  984.1	  646.8	  251.0	.
893378	  984.0	  640.6	  256.0	.
893380	  983.5	  628.6	  269.0	.
893382	  982.3	  613.9	  271.0	.
893384	  982.1	  611.5	  275.0	.
MSG	893385 DSP: FIXATION
893386	  982.2	  605.1	  280.0	.
893388	  983.4	  602.4	  288.0	.
893390	  981.5	  588.4	  296.0	.
893392	  982.1	  580.8	  303.0	.
893394	  982.8	  572.3	  307.0	.
893396	  985.5	  563.5	  312.0	.
SFIX L   893398
893398	  985.5	  559.7	  317.0	.
893400	  985.5	  556.0	  323.0	.
893402	  988.7	  551.4	  324.0	.
893404	  991.9	  546.8	  326.0	.
893406	  992.9	  541.9	  331.0	.
