MSG	898774 TRIAL 17 START
MSG	901066 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.74 deg.  13.6,-23.0 pix.
MSG	901827 RECCFG P 500 2 1 
MSG	901827 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	901828 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	901828 !MODE RECORD P 500 2 1
901828	  948.8	  537.0	  417.0	.
901830	  948.7	  536.0	  417.0	.
901832	  948.9	  537.4	  416.0	.
901834	  949.2	  538.8	  415.0	.
SFIX L   901836
901836	  948.9	  538.7	  416.0	.
901838	  948.8	  538.6	  417.0	.
901840	  948.3	  540.3	  417.0	.
901842	  949.3	  541.9	  417.0	.
901844	  950.2	  543.5	  416.0	.
901846	  949.9	  544.4	  414.0	.
901848	  949.7	  545.2	  415.0	.
901850	  949.2	  545.2	  414.0	.
901852	  948.8	  545.1	  414.0	.
901854	  947.8	  545.3	  414.0	.
901856	  947.9	  545.2	  414.0	.
901858	  948.0	  545.3	  415.0	.
901860	  948.1	  545.2	  415.0	.
901862	  948.2	  547.6	  415.0	.
901864	  948.5	  550.5	  416.0	.
901866	  948.1	  550.7	  416.0	.
901868	  947.6	  550.6	  415.0	.
901870	  947.5	  551.3	  415.0	.
901872	  947.5	  551.8	  416.0	.
901874	  947.6	  553.3	  416.0	.
901876	  947.5	  553.0	  416.0	.
901878	  947.6	  554.2	  416.0	.
901880	  947.7	  555.4	  416.0	.
901882	  947.4	  555.4	  416.0	.
901884	  947.2	  555.3	  417.0	.
901886	  947.5	  554.7	  417.0	.
901888	  947.5	  554.0	  417.0	.
901890	  948.1	  554.1	  416.0	.
901892	  947.5	  553.8	  415.0	.
901894	  947.6	  553.4	  415.0	.
901896	  947.7	  552.5	  415.0	.
901898	  947.9	  552.7	  415.0	.
901900	  948.1	  552.6	  414.0	.
901902	  948.3	  552.6	  414.0	.
901904	  948.0	  552.4	  414.0	.
901906	  948.3	  552.2	  414.0	.
901908	  948.6	  552.0	  414.0	.
901910	  948.0	  551.9	  414.0	.
901912	  948.6	  551.7	  412.0	.
901914	  948.6	  550.7	  411.0	.
901916	  948.4	  550.6	  411.0	.
901918	  948.2	  550.5	  411.0	.
901920	  947.0	  547.4	  411.0	.
901922	  947.5	  547.2	  410.0	.
901924	  947.3	  547.1	  410.0	.
901926	  947.1	  547.5	  410.0	.
901928	  947.3	  547.9	  410.0	.
901930	  947.4	  547.0	  410.0	.
901932	  947.4	  547.5	  409.0	.
901934	  947.2	  547.4	  409.0	.
901936	  947.1	  548.1	  410.0	.
MSG	901938 Start Recording with 0
MSG	901938 SYNCTIME
901938	  947.1	  548.7	  410.0	.
901940	  947.2	  548.6	  411.0	.
901942	  947.1	  548.3	  411.0	.
901944	  946.9	  549.8	  410.0	.
901946	  946.4	  551.1	  409.0	.
901948	  945.9	  550.4	  408.0	.
