MSG	760767 TRIAL 2 START
MSG	763964 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.90 deg.  35.4,-2.8 pix.
MSG	764722 RECCFG P 500 2 1 
MSG	764722 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	764723 !MODE RECORD P 500 2 1
START	764724 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
764724	  942.9	  551.1	  480.0	.
764726	  942.8	  551.3	  482.0	.
764728	  942.5	  551.3	  481.0	.
764730	  942.1	  551.4	  482.0	.
SFIX L   764732
764732	  941.9	  551.6	  481.0	.
764734	  941.9	  551.9	  482.0	.
764736	  942.5	  552.3	  483.0	.
764738	  943.1	  552.7	  485.0	.
764740	  943.2	  551.1	  485.0	.
764742	  943.4	  551.3	  483.0	.
764744	  943.3	  550.5	  482.0	.
764746	  943.2	  549.8	  481.0	.
764748	  943.6	  550.5	  481.0	.
764750	  943.4	  551.3	  481.0	.
764752	  943.7	  551.4	  481.0	.
764754	  944.2	  551.2	  480.0	.
764756	  944.5	  551.2	  480.0	.
764758	  944.5	  551.3	  480.0	.
764760	  944.3	  551.4	  480.0	.
764762	  944.1	  550.7	  480.0	.
764764	  944.0	  550.0	  480.0	.
764766	  944.1	  550.2	  481.0	.
764768	  944.3	  549.4	  481.0	.
764770	  943.9	  550.0	  481.0	.
764772	  943.4	  550.3	  481.0	.
764774	  944.2	  550.3	  482.0	.
764776	  944.8	  550.0	  482.0	.
764778	  945.0	  550.2	  482.0	.
764780	  944.0	  550.4	  481.0	.
764782	  943.9	  550.4	  481.0	.
764784	  943.9	  550.5	  481.0	.
764786	  944.2	  550.6	  481.0	.
764788	  944.7	  551.4	  481.0	.
764790	  944.6	  552.5	  483.0	.
764792	  944.4	  552.8	  484.0	.
764794	  944.4	  553.2	  484.0	.
764796	  944.2	  553.3	  483.0	.
764798	  944.4	  553.0	  483.0	.
764800	  944.3	  552.7	  483.0	.
764802	  944.3	  552.7	  483.0	.
764804	  944.2	  552.9	  481.0	.
764806	  944.3	  552.8	  480.0	.
764808	  944.6	  552.5	  480.0	.
764810	  944.9	  552.9	  482.0	.
764812	  945.0	  553.3	  482.0	.
764814	  944.5	  553.4	  482.0	.
764816	  943.8	  553.3	  482.0	.
764818	  943.5	  553.2	  482.0	.
764820	  943.6	  553.3	  481.0	.
764822	  943.6	  553.2	  481.0	.
764824	  943.5	  553.1	  481.0	.
764826	  943.6	  553.2	  482.0	.
764828	  943.4	  551.4	  481.0	.
764830	  943.3	  550.8	  482.0	.
764832	  942.5	  550.5	  482.0	.
MSG	764833 Start Recording with 0
MSG	764833 SYNCTIME
764834	  942.1	  550.3	  481.0	.
764836	  941.9	  549.4	  481.0	.
MSG	764838 DSP: FIXATION
764838	  942.0	  549.2	  481.0	.
764840	  942.2	  549.6	  482.0	.
764842	  942.3	  550.1	  483.0	.
