MSG	797115 TRIAL 5 START
MSG	799818 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.53 deg.  -9.1,-16.8 pix.
MSG	800577 RECCFG P 500 2 1 
MSG	800577 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	800578 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	800578 !MODE RECORD P 500 2 1
800578	  949.8	  548.2	  451.0	.
800580	  949.5	  548.8	  451.0	.
800582	  949.2	  549.3	  451.0	.
800584	  949.1	  547.9	  451.0	.
SFIX L   800586
800586	  948.8	  548.3	  450.0	.
800588	  948.6	  547.6	  451.0	.
800590	  948.6	  548.0	  451.0	.
800592	  949.4	  548.3	  451.0	.
800594	  950.2	  548.4	  451.0	.
800596	  950.8	  548.2	  451.0	.
800598	  950.8	  548.3	  450.0	.
800600	  949.7	  548.4	  450.0	.
800602	  948.8	  548.8	  450.0	.
800604	  948.7	  549.0	  450.0	.
800606	  948.6	  549.3	  451.0	.
800608	  948.8	  548.6	  451.0	.
800610	  949.2	  548.8	  452.0	.
800612	  949.1	  548.4	  453.0	.
800614	  949.1	  548.2	  451.0	.
800616	  949.4	  548.8	  450.0	.
800618	  949.8	  549.5	  450.0	.
800620	  950.1	  550.0	  451.0	.
800622	  949.8	  550.6	  450.0	.
800624	  949.8	  549.7	  451.0	.
800626	  949.5	  548.9	  451.0	.
800628	  949.1	  548.2	  451.0	.
800630	  949.0	  548.2	  453.0	.
800632	  948.9	  548.0	  452.0	.
800634	  948.9	  547.5	  452.0	.
800636	  948.8	  547.2	  452.0	.
800638	  948.9	  547.0	  452.0	.
800640	  948.9	  547.2	  451.0	.
800642	  948.2	  546.9	  451.0	.
800644	  948.0	  546.6	  451.0	.
800646	  948.0	  546.5	  451.0	.
800648	  948.1	  546.4	  452.0	.
800650	  948.3	  545.0	  453.0	.
800652	  949.0	  544.6	  453.0	.
800654	  949.4	  544.9	  452.0	.
800656	  949.3	  544.8	  451.0	.
800658	  949.3	  545.4	  450.0	.
800660	  949.0	  545.4	  450.0	.
800662	  949.6	  545.3	  450.0	.
800664	  949.2	  545.9	  450.0	.
800666	  948.8	  546.1	  451.0	.
800668	  948.3	  546.0	  452.0	.
800670	  947.8	  546.0	  452.0	.
800672	  947.5	  546.1	  453.0	.
800674	  947.3	  546.1	  452.0	.
800676	  948.4	  546.5	  451.0	.
800678	  949.0	  545.8	  451.0	.
800680	  949.2	  546.2	  451.0	.
800682	  949.3	  544.6	  451.0	.
800684	  948.0	  543.2	  451.0	.
800686	  947.0	  543.2	  450.0	.
MSG	800688 Start Recording with 0
MSG	800688 SYNCTIME
800688	  947.0	  542.9	  450.0	.
800690	  946.1	  543.4	  451.0	.
800692	  946.1	  542.4	  451.0	.
800694	  946.2	  541.5	  451.0	.
800696	  946.6	  541.1	  451.0	.
800698	  947.2	  540.7	  451.0	.
