MSG	807274 TRIAL 6 START
MSG	810054 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.22 deg.  7.9,3.4 pix.
MSG	810814 RECCFG P 500 2 1 
MSG	810814 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	810815 !MODE RECORD P 500 2 1
START	810816 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
810816	  949.9	  538.8	  440.0	.
810818	  950.1	  538.9	  440.0	.
810820	  949.9	  538.0	  440.0	.
810822	  949.8	  537.8	  440.0	.
810824	  949.6	  538.1	  441.0	.
810826	  948.8	  537.7	  444.0	.
810828	  947.4	  537.4	  444.0	.
810830	  947.0	  536.0	  444.0	.
810832	  946.5	  529.9	  445.0	.
810834	  946.2	  525.6	  452.0	.
810836	  947.4	  524.0	  451.0	.
810838	  949.7	  529.3	  450.0	.
810840	  949.6	  535.0	  447.0	.
810842	  951.2	  557.4	  434.0	.
810844	  953.0	  584.1	  420.0	.
810846	  955.6	  614.5	  397.0	.
810848	  948.1	  645.5	  376.0	.
810850	  944.7	  694.9	  342.0	.
810852	  948.5	  738.0	  298.0	.
810854	  948.2	  766.3	  277.0	.
810856	  948.2	  773.3	  271.0	I
810858	  948.1	  780.3	  266.0	.
810860	  948.1	  787.3	  261.0	I
810862	  948.1	  794.4	  256.0	.
810864	  948.1	  794.4	  256.0	I
810866	   .	   .	    0.0	.
810868	   .	   .	    0.0	I
810870	   .	   .	    0.0	.
810872	   .	   .	    0.0	I
810874	   .	   .	    0.0	.
810876	   .	   .	    0.0	I
810878	   .	   .	    0.0	.
810880	   .	   .	    0.0	I
810882	   .	   .	    0.0	.
810884	   .	   .	    0.0	I
810886	   .	   .	    0.0	.
810888	   .	   .	    0.0	I
810890	   .	   .	    0.0	.
810892	   .	   .	    0.0	I
810894	   .	   .	    0.0	.
810896	   .	   .	    0.0	I
810898	   .	   .	    0.0	.
810900	   .	   .	    0.0	I
810902	   .	   .	    0.0	.
810904	   .	   .	    0.0	I
810906	   .	   .	    0.0	.
810908	   .	   .	    0.0	I
810910	   .	   .	    0.0	.
810912	   .	   .	    0.0	I
810914	   .	   .	    0.0	.
810916	   .	   .	    0.0	I
810918	   .	   .	    0.0	.
810920	   .	   .	    0.0	I
810922	   .	   .	    0.0	.
MSG	810924 Start Recording with 0
810924	   .	   .	    0.0	I
MSG	810925 SYNCTIME
810926	   .	   .	    0.0	.
810928	   .	   .	    0.0	I
810930	   .	   .	    0.0	.
810932	   .	   .	    0.0	I
810934	   .	   .	    0.0	.
MSG	810936 DSP: FIXATION
810936	   .	   .	    0.0	I
810938	   .	   .	    0.0	.
810940	   .	   .	    0.0	I
810942	   .	   .	    0.0	.
810944	   .	   .	    0.0	I
810946	   .	   .	    0.0	.
810948	   .	   .	    0.0	I
810950	   .	   .	    0.0	.
810952	   .	   .	    0.0	I
810954	   .	   .	    0.0	.
